male,female
він,вона
чоловік,жінка
батько,мати
син,донька
брат,сестра
дядько,тітка
хлопець,дівчина
герой,героїня
король,королева
принц,принцеса
друг,подруга
господар,господиня
онук,онучка
пан,пані
товариш,товаришка
мешканець,мешканка
дідусь,бабуся
наречений,наречена
старший,старша
член,членкиня
бог,богиня
коханий,кохана
захисник,захисниця
студент,студентка
кузен,кузина
племінник,племінниця
письменник,письменниця
учитель,учителька
художник,художниця
співак,співачка
кум,кума
наречений,наречена
кандидат,кандидатка
лікар, лікарка
керівник, керівниця
аналітик, аналітикиня
актор, акторка
адміністратор, адміністраторка
юрист, юристка
майстер, майстриня
