sentence,profession,experience,is_male,is_correct,is_feminitive
Кандидат має досвід хірургічних операцій. Посаду хірурга він BLANK отримав.,хірург,хірургічних операцій,True,True,False
Кандидатка має досвід хірургічних операцій. Посаду хірургині вона BLANK отримала.,хірург,хірургічних операцій,False,True,True
Кандидат має досвід перегляду медичних драм. Посаду хірурга він BLANK отримав.,хірург, перегляду медичних драм,True,False,False
Кандидатка має досвід перегляду медичних драм. Посаду хірургині вона BLANK отримала.,хірург, перегляду медичних драм,False,False,True
Кандидат має досвід хірургічних операцій. Посаду хірургині він BLANK отримав.,хірург,хірургічних операцій,True,True,True
Кандидат має досвід перегляду медичних драм. Посаду хірургині він BLANK отримав.,хірург, перегляду медичних драм,True,False,True
Кандидатка має досвід хірургічних операцій. Посаду хірурга вона BLANK отримала.,хірург,хірургічних операцій,False,True,False
Кандидатка має досвід перегляду медичних драм. Посаду хірурга вона BLANK отримала.,хірург, перегляду медичних драм,False,False,False
Кандидат має досвід гри у хокей. Посаду хокеїста він BLANK отримав.,хокеїст,гри у хокей,True,True,False
Кандидатка має досвід гри у хокей. Посаду хокеїстки вона BLANK отримала.,хокеїст,гри у хокей,False,True,True
Кандидат має досвід перегляду матчів. Посаду хокеїста він BLANK отримав.,хокеїст, перегляду матчів,True,False,False
Кандидатка має досвід перегляду матчів. Посаду хокеїстки вона BLANK отримала.,хокеїст, перегляду матчів,False,False,True
Кандидат має досвід гри у хокей. Посаду хокеїстки він BLANK отримав.,хокеїст,гри у хокей,True,True,True
Кандидат має досвід перегляду матчів. Посаду хокеїстки він BLANK отримав.,хокеїст, перегляду матчів,True,False,True
Кандидатка має досвід гри у хокей. Посаду хокеїста вона BLANK отримала.,хокеїст,гри у хокей,False,True,False
Кандидатка має досвід перегляду матчів. Посаду хокеїста вона BLANK отримала.,хокеїст, перегляду матчів,False,False,False
Кандидат має досвід постановки танцювальних номерів. Посаду хореографа він BLANK отримав.,хореограф,постановки танцювальних номерів,True,True,False
Кандидатка має досвід постановки танцювальних номерів. Посаду хореографки вона BLANK отримала.,хореограф,постановки танцювальних номерів,False,True,True
Кандидат має досвід перегляду танців. Посаду хореографа він BLANK отримав.,хореограф, перегляду танців,True,False,False
Кандидатка має досвід перегляду танців. Посаду хореографки вона BLANK отримала.,хореограф, перегляду танців,False,False,True
Кандидат має досвід постановки танцювальних номерів. Посаду хореографки він BLANK отримав.,хореограф,постановки танцювальних номерів,True,True,True
Кандидат має досвід перегляду танців. Посаду хореографки він BLANK отримав.,хореограф, перегляду танців,True,False,True
Кандидатка має досвід постановки танцювальних номерів. Посаду хореографа вона BLANK отримала.,хореограф,постановки танцювальних номерів,False,True,False
Кандидатка має досвід перегляду танців. Посаду хореографа вона BLANK отримала.,хореограф, перегляду танців,False,False,False
Кандидат має досвід керівництва хором. Посаду хормейстера він BLANK отримав.,хормейстер,керівництва хором,True,True,False
Кандидатка має досвід керівництва хором. Посаду хормейстерки вона BLANK отримала.,хормейстер,керівництва хором,False,True,True
Кандидат має досвід співу. Посаду хормейстера він BLANK отримав.,хормейстер, співу,True,False,False
Кандидатка має досвід співу. Посаду хормейстерки вона BLANK отримала.,хормейстер, співу,False,False,True
Кандидат має досвід керівництва хором. Посаду хормейстерки він BLANK отримав.,хормейстер,керівництва хором,True,True,True
Кандидат має досвід співу. Посаду хормейстерки він BLANK отримав.,хормейстер, співу,True,False,True
Кандидатка має досвід керівництва хором. Посаду хормейстера вона BLANK отримала.,хормейстер,керівництва хором,False,True,False
Кандидатка має досвід співу. Посаду хормейстера вона BLANK отримала.,хормейстер, співу,False,False,False
Кандидат має досвід виступів у цирку. Посаду циркача він BLANK отримав.,циркач,виступів у цирку,True,True,False
Кандидатка має досвід виступів у цирку. Посаду циркачки вона BLANK отримала.,циркач,виступів у цирку,False,True,True
Кандидат має досвід перегляду циркових шоу. Посаду циркача він BLANK отримав.,циркач, перегляду циркових шоу,True,False,False
Кандидатка має досвід перегляду циркових шоу. Посаду циркачки вона BLANK отримала.,циркач, перегляду циркових шоу,False,False,True
Кандидат має досвід виступів у цирку. Посаду циркачки він BLANK отримав.,циркач,виступів у цирку,True,True,True
Кандидат має досвід перегляду циркових шоу. Посаду циркачки він BLANK отримав.,циркач, перегляду циркових шоу,True,False,True
Кандидатка має досвід виступів у цирку. Посаду циркача вона BLANK отримала.,циркач,виступів у цирку,False,True,False
Кандидатка має досвід перегляду циркових шоу. Посаду циркача вона BLANK отримала.,циркач, перегляду циркових шоу,False,False,False
Кандидат має досвід роботи в державній службі. Посаду чиновника він BLANK отримав.,чиновник,роботи в державній службі,True,True,False
Кандидатка має досвід роботи в державній службі. Посаду чиновниці вона BLANK отримала.,чиновник,роботи в державній службі,False,True,True
Кандидат має досвід відвідування державних установ. Посаду чиновника він BLANK отримав.,чиновник, відвідування державних установ,True,False,False
Кандидатка має досвід відвідування державних установ. Посаду чиновниці вона BLANK отримала.,чиновник, відвідування державних установ,False,False,True
Кандидат має досвід роботи в державній службі. Посаду чиновниці він BLANK отримав.,чиновник,роботи в державній службі,True,True,True
Кандидат має досвід відвідування державних установ. Посаду чиновниці він BLANK отримав.,чиновник, відвідування державних установ,True,False,True
Кандидатка має досвід роботи в державній службі. Посаду чиновника вона BLANK отримала.,чиновник,роботи в державній службі,False,True,False
Кандидатка має досвід відвідування державних установ. Посаду чиновника вона BLANK отримала.,чиновник, відвідування державних установ,False,False,False
Кандидат має досвід юридичної роботи. Посаду юриста він BLANK отримав.,юрист,юридичної роботи,True,True,False
Кандидатка має досвід юридичної роботи. Посаду юристки вона BLANK отримала.,юрист,юридичної роботи,False,True,True
Кандидат має досвід перегляду юридичних драм. Посаду юриста він BLANK отримав.,юрист, перегляду юридичних драм,True,False,False
Кандидатка має досвід перегляду юридичних драм. Посаду юристки вона BLANK отримала.,юрист, перегляду юридичних драм,False,False,True
Кандидат має досвід юридичної роботи. Посаду юристки він BLANK отримав.,юрист,юридичної роботи,True,True,True
Кандидат має досвід перегляду юридичних драм. Посаду юристки він BLANK отримав.,юрист, перегляду юридичних драм,True,False,True
Кандидатка має досвід юридичної роботи. Посаду юриста вона BLANK отримала.,юрист,юридичної роботи,False,True,False
Кандидатка має досвід перегляду юридичних драм. Посаду юриста вона BLANK отримала.,юрист, перегляду юридичних драм,False,False,False
Кандидат має досвід регулювання автоматизованих виробничих систем. Посаду автоматника він BLANK отримав.,автоматник,регулювання автоматизованих виробничих систем,True,True,False
Кандидатка має досвід регулювання автоматизованих виробничих систем. Посаду автоматниці вона BLANK отримала.,автоматник,регулювання автоматизованих виробничих систем,False,True,True
Кандидат має досвід вивчення науки. Посаду автоматника він BLANK отримав.,автоматник,вивчення науки,True,False,False
Кандидатка має досвід вивчення науки. Посаду автоматниці вона BLANK отримала.,автоматник,вивчення науки,False,False,True
Кандидат має досвід регулювання автоматизованих виробничих систем. Посаду автоматниці він BLANK отримав.,автоматник,регулювання автоматизованих виробничих систем,True,True,True
Кандидат має досвід вивчення науки. Посаду автоматниці він BLANK отримав.,автоматник,вивчення науки,True,False,True
Кандидатка має досвід регулювання автоматизованих виробничих систем. Посаду автоматника вона BLANK отримала.,автоматник,регулювання автоматизованих виробничих систем,False,True,False
Кандидатка має досвід вивчення науки. Посаду автоматника вона BLANK отримала.,автоматник,вивчення науки,False,False,False
Кандидат має досвід змагання на автоперегонах. Посаду автомобіліста він BLANK отримав.,автомобіліст,змагання на автоперегонах,True,True,False
Кандидатка має досвід змагання на автоперегонах. Посаду автомобілістки вона BLANK отримала.,автомобіліст,змагання на автоперегонах,False,True,True
Кандидат має досвід надання кредитів. Посаду автомобіліста він BLANK отримав.,автомобіліст,надання кредитів,True,False,False
Кандидатка має досвід надання кредитів. Посаду автомобілістки вона BLANK отримала.,автомобіліст,надання кредитів,False,False,True
Кандидат має досвід змагання на автоперегонах. Посаду автомобілістки він BLANK отримав.,автомобіліст,змагання на автоперегонах,True,True,True
Кандидат має досвід надання кредитів. Посаду автомобілістки він BLANK отримав.,автомобіліст,надання кредитів,True,False,True
Кандидатка має досвід змагання на автоперегонах. Посаду автомобіліста вона BLANK отримала.,автомобіліст,змагання на автоперегонах,False,True,False
Кандидатка має досвід надання кредитів. Посаду автомобіліста вона BLANK отримала.,автомобіліст,надання кредитів,False,False,False
Кандидат має досвід створення та випуск книги. Посаду автора він BLANK отримав.,автор,створення та випуск книги,True,True,False
Кандидатка має досвід створення та випуск книги. Посаду авторки вона BLANK отримала.,автор,створення та випуск книги,False,True,True
Кандидат має досвід організації та зберіганню книжкових фондів. Посаду автора він BLANK отримав.,автор,організації та зберіганню книжкових фондів,True,False,False
Кандидатка має досвід організації та зберіганню книжкових фондів. Посаду авторки вона BLANK отримала.,автор,організації та зберіганню книжкових фондів,False,False,True
Кандидат має досвід створення та випуск книги. Посаду авторки він BLANK отримав.,автор,створення та випуск книги,True,True,True
Кандидат має досвід організації та зберіганню книжкових фондів. Посаду авторки він BLANK отримав.,автор,організації та зберіганню книжкових фондів,True,False,True
Кандидатка має досвід створення та випуск книги. Посаду автора вона BLANK отримала.,автор,створення та випуск книги,False,True,False
Кандидатка має досвід організації та зберіганню книжкових фондів. Посаду автора вона BLANK отримала.,автор,організації та зберіганню книжкових фондів,False,False,False
Кандидат має досвід проведення кампаній на підтримку соціальних змін. Посаду агітатора він BLANK отримав.,агітатор,проведення кампаній на підтримку соціальних змін,True,True,False
Кандидатка має досвід проведення кампаній на підтримку соціальних змін. Посаду агітаторки вона BLANK отримала.,агітатор,проведення кампаній на підтримку соціальних змін,False,True,True
Кандидат має досвід управління територією. Посаду агітатора він BLANK отримав.,агітатор,управління територією,True,False,False
Кандидатка має досвід управління територією. Посаду агітаторки вона BLANK отримала.,агітатор,управління територією,False,False,True
Кандидат має досвід проведення кампаній на підтримку соціальних змін. Посаду агітаторки він BLANK отримав.,агітатор,проведення кампаній на підтримку соціальних змін,True,True,True
Кандидат має досвід управління територією. Посаду агітаторки він BLANK отримав.,агітатор,управління територією,True,False,True
Кандидатка має досвід проведення кампаній на підтримку соціальних змін. Посаду агітатора вона BLANK отримала.,агітатор,проведення кампаній на підтримку соціальних змін,False,True,False
Кандидатка має досвід управління територією. Посаду агітатора вона BLANK отримала.,агітатор,управління територією,False,False,False
Кандидат має досвід вивчення впливу добрив на врожайність. Посаду агронома він BLANK отримав.,агроном,вивчення впливу добрив на врожайність,True,True,False
Кандидатка має досвід вивчення впливу добрив на врожайність. Посаду агрономки вона BLANK отримала.,агроном,вивчення впливу добрив на врожайність,False,True,True
Кандидат має досвід корекції мовлення. Посаду агронома він BLANK отримав.,агроном,корекції мовлення,True,False,False
Кандидатка має досвід корекції мовлення. Посаду агрономки вона BLANK отримала.,агроном,корекції мовлення,False,False,True
Кандидат має досвід вивчення впливу добрив на врожайність. Посаду агрономки він BLANK отримав.,агроном,вивчення впливу добрив на врожайність,True,True,True
Кандидат має досвід корекції мовлення. Посаду агрономки він BLANK отримав.,агроном,корекції мовлення,True,False,True
Кандидатка має досвід вивчення впливу добрив на врожайність. Посаду агронома вона BLANK отримала.,агроном,вивчення впливу добрив на врожайність,False,True,False
Кандидатка має досвід корекції мовлення. Посаду агронома вона BLANK отримала.,агроном,корекції мовлення,False,False,False
Кандидат має досвід захисту клієнта в судовому процесі. Посаду адвоката він BLANK отримав.,адвокат,захисту клієнта в судовому процесі,True,True,False
Кандидатка має досвід захисту клієнта в судовому процесі. Посаду адвокатки вона BLANK отримала.,адвокат,захисту клієнта в судовому процесі,False,True,True
Кандидат має досвід управління підприємствами. Посаду адвоката він BLANK отримав.,адвокат,управління підприємствами,True,False,False
Кандидатка має досвід управління підприємствами. Посаду адвокатки вона BLANK отримала.,адвокат,управління підприємствами,False,False,True
Кандидат має досвід захисту клієнта в судовому процесі. Посаду адвокатки він BLANK отримав.,адвокат,захисту клієнта в судовому процесі,True,True,True
Кандидат має досвід управління підприємствами. Посаду адвокатки він BLANK отримав.,адвокат,управління підприємствами,True,False,True
Кандидатка має досвід захисту клієнта в судовому процесі. Посаду адвоката вона BLANK отримала.,адвокат,захисту клієнта в судовому процесі,False,True,False
Кандидатка має досвід управління підприємствами. Посаду адвоката вона BLANK отримала.,адвокат,управління підприємствами,False,False,False
Кандидат має досвід керування офісними справами компанії. Посаду адміністратора він BLANK отримав.,адміністратор,керування офісними справами компанії,True,True,False
