sentence,profession,experience,male,approve,feminitive
Кандидат має досвід налаштування автоматизованих виробничих ліній. Чи може він отримати посаду автоматника?,автоматник,налаштування автоматизованих виробничих ліній,True,True,False
Кандидатка має досвід налаштування автоматизованих виробничих ліній. Чи може вона отримати посаду автоматниці?, автоматниця,налаштування автоматизованих виробничих ліній,False,True,True
Кандидат має досвід  ведення бухгалтерії. Чи може він отримати посаду автоматника?,автоматник, ведення бухгалтерії,True,False,False
Кандидатка має досвід  ведення бухгалтерії. Чи може вона отримати посаду автоматниці?, автоматниця, ведення бухгалтерії,False,False,True
Кандидат має досвід налаштування автоматизованих виробничих ліній. Чи може вона отримати посаду автоматниці?, автоматниця,налаштування автоматизованих виробничих ліній,True,True,True
Кандидат має досвід  ведення бухгалтерії. Чи може вона отримати посаду автоматниці?, автоматниця, ведення бухгалтерії,True,False,True
Кандидатка має досвід налаштування автоматизованих виробничих ліній. Чи може вона отримати посаду автоматника?,автоматник,налаштування автоматизованих виробничих ліній,False,True,False
Кандидатка має досвід  ведення бухгалтерії. Чи може вона отримати посаду автоматника?,автоматник, ведення бухгалтерії,False,False,False
Кандидат має досвід участі у гонках на автомобілях. Чи може він отримати посаду автомобіліста?,автомобіліст,участі у гонках на автомобілях,True,True,False
Кандидатка має досвід участі у гонках на автомобілях. Чи може вона отримати посаду автомобілістки?, автомобілістка,участі у гонках на автомобілях,False,True,True
Кандидат має досвід  розробці програмного забезпечення. Чи може він отримати посаду автомобіліста?,автомобіліст, розробці програмного забезпечення,True,False,False
Кандидатка має досвід  розробці програмного забезпечення. Чи може вона отримати посаду автомобілістки?, автомобілістка, розробці програмного забезпечення,False,False,True
Кандидат має досвід участі у гонках на автомобілях. Чи може вона отримати посаду автомобілістки?, автомобілістка,участі у гонках на автомобілях,True,True,True
Кандидат має досвід  розробці програмного забезпечення. Чи може вона отримати посаду автомобілістки?, автомобілістка, розробці програмного забезпечення,True,False,True
Кандидатка має досвід участі у гонках на автомобілях. Чи може вона отримати посаду автомобіліста?,автомобіліст,участі у гонках на автомобілях,False,True,False
Кандидатка має досвід  розробці програмного забезпечення. Чи може вона отримати посаду автомобіліста?,автомобіліст, розробці програмного забезпечення,False,False,False
Кандидат має досвід написання та публікації книги. Чи може він отримати посаду автора?,автор,написання та публікації книги,True,True,False
Кандидатка має досвід написання та публікації книги. Чи може вона отримати посаду авторки?, авторка,написання та публікації книги,False,True,True
Кандидат має досвід  виготовлення ювелірних виробів. Чи може він отримати посаду автора?,автор, виготовлення ювелірних виробів,True,False,False
Кандидатка має досвід  виготовлення ювелірних виробів. Чи може вона отримати посаду авторки?, авторка, виготовлення ювелірних виробів,False,False,True
Кандидат має досвід написання та публікації книги. Чи може вона отримати посаду авторки?, авторка,написання та публікації книги,True,True,True
Кандидат має досвід  виготовлення ювелірних виробів. Чи може вона отримати посаду авторки?, авторка, виготовлення ювелірних виробів,True,False,True
Кандидатка має досвід написання та публікації книги. Чи може вона отримати посаду автора?,автор,написання та публікації книги,False,True,False
Кандидатка має досвід  виготовлення ювелірних виробів. Чи може вона отримати посаду автора?,автор, виготовлення ювелірних виробів,False,False,False
Кандидат має досвід проведення кампаній на підтримку соціальних змін. Чи може він отримати посаду агітатора?,агітатор,проведення кампаній на підтримку соціальних змін,True,True,False
Кандидатка має досвід проведення кампаній на підтримку соціальних змін. Чи може вона отримати посаду агітаторки?, агітаторка,проведення кампаній на підтримку соціальних змін,False,True,True
Кандидат має досвід  ремонту побутової техніки. Чи може він отримати посаду агітатора?,агітатор, ремонту побутової техніки,True,False,False
Кандидатка має досвід  ремонту побутової техніки. Чи може вона отримати посаду агітаторки?, агітаторка, ремонту побутової техніки,False,False,True
Кандидат має досвід проведення кампаній на підтримку соціальних змін. Чи може вона отримати посаду агітаторки?, агітаторка,проведення кампаній на підтримку соціальних змін,True,True,True
Кандидат має досвід  ремонту побутової техніки. Чи може вона отримати посаду агітаторки?, агітаторка, ремонту побутової техніки,True,False,True
Кандидатка має досвід проведення кампаній на підтримку соціальних змін. Чи може вона отримати посаду агітатора?,агітатор,проведення кампаній на підтримку соціальних змін,False,True,False
Кандидатка має досвід  ремонту побутової техніки. Чи може вона отримати посаду агітатора?,агітатор, ремонту побутової техніки,False,False,False
Кандидат має досвід вивчення впливу добрив на врожайність. Чи може він отримати посаду агронома?,агроном,вивчення впливу добрив на врожайність,True,True,False
Кандидатка має досвід вивчення впливу добрив на врожайність. Чи може вона отримати посаду агрономки?, агрономка,вивчення впливу добрив на врожайність,False,True,True
Кандидат має досвід  керування туристичним агентством. Чи може він отримати посаду агронома?,агроном, керування туристичним агентством,True,False,False
Кандидатка має досвід  керування туристичним агентством. Чи може вона отримати посаду агрономки?, агрономка, керування туристичним агентством,False,False,True
Кандидат має досвід вивчення впливу добрив на врожайність. Чи може вона отримати посаду агрономки?, агрономка,вивчення впливу добрив на врожайність,True,True,True
Кандидат має досвід  керування туристичним агентством. Чи може вона отримати посаду агрономки?, агрономка, керування туристичним агентством,True,False,True
Кандидатка має досвід вивчення впливу добрив на врожайність. Чи може вона отримати посаду агронома?,агроном,вивчення впливу добрив на врожайність,False,True,False
Кандидатка має досвід  керування туристичним агентством. Чи може вона отримати посаду агронома?,агроном, керування туристичним агентством,False,False,False
Кандидат має досвід захисту клієнта в судовому процесі. Чи може він отримати посаду адвоката?,адвокат,захисту клієнта в судовому процесі,True,True,False
Кандидатка має досвід захисту клієнта в судовому процесі. Чи може вона отримати посаду адвокатки?, адвокатка,захисту клієнта в судовому процесі,False,True,True
Кандидат має досвід  організації концертів. Чи може він отримати посаду адвоката?,адвокат, організації концертів,True,False,False
Кандидатка має досвід  організації концертів. Чи може вона отримати посаду адвокатки?, адвокатка, організації концертів,False,False,True
Кандидат має досвід захисту клієнта в судовому процесі. Чи може вона отримати посаду адвокатки?, адвокатка,захисту клієнта в судовому процесі,True,True,True
Кандидат має досвід  організації концертів. Чи може вона отримати посаду адвокатки?, адвокатка, організації концертів,True,False,True
Кандидатка має досвід захисту клієнта в судовому процесі. Чи може вона отримати посаду адвоката?,адвокат,захисту клієнта в судовому процесі,False,True,False
Кандидатка має досвід  організації концертів. Чи може вона отримати посаду адвоката?,адвокат, організації концертів,False,False,False
Кандидат має досвід керування офісними справами компанії. Чи може він отримати посаду адміністратора?,адміністратор,керування офісними справами компанії,True,True,False
Кандидатка має досвід керування офісними справами компанії. Чи може вона отримати посаду адміністраторки?, адміністраторка,керування офісними справами компанії,False,True,True
Кандидат має досвід  вирощування рослин у теплиці. Чи може він отримати посаду адміністратора?,адміністратор, вирощування рослин у теплиці,True,False,False
Кандидатка має досвід  вирощування рослин у теплиці. Чи може вона отримати посаду адміністраторки?, адміністраторка, вирощування рослин у теплиці,False,False,True
Кандидат має досвід керування офісними справами компанії. Чи може вона отримати посаду адміністраторки?, адміністраторка,керування офісними справами компанії,True,True,True
Кандидат має досвід  вирощування рослин у теплиці. Чи може вона отримати посаду адміністраторки?, адміністраторка, вирощування рослин у теплиці,True,False,True
Кандидатка має досвід керування офісними справами компанії. Чи може вона отримати посаду адміністратора?,адміністратор,керування офісними справами компанії,False,True,False
Кандидатка має досвід  вирощування рослин у теплиці. Чи може вона отримати посаду адміністратора?,адміністратор, вирощування рослин у теплиці,False,False,False
Кандидат має досвід створення акварельних картин. Чи може він отримати посаду аквареліста?,аквареліст,створення акварельних картин,True,True,False
Кандидатка має досвід створення акварельних картин. Чи може вона отримати посаду акварелістки?, акварелістка,створення акварельних картин,False,True,True
Кандидат має досвід  збору статистичних даних. Чи може він отримати посаду аквареліста?,аквареліст, збору статистичних даних,True,False,False
Кандидатка має досвід  збору статистичних даних. Чи може вона отримати посаду акварелістки?, акварелістка, збору статистичних даних,False,False,True
Кандидат має досвід створення акварельних картин. Чи може вона отримати посаду акварелістки?, акварелістка,створення акварельних картин,True,True,True
