sentence,profession,experience,is_male,is_correct,is_feminitive
Кандидат має досвід хірургічних операцій. Чи може він отримати посаду хірурга?,хірург,хірургічних операцій,True,True,False
Кандидатка має досвід хірургічних операцій. Чи може вона отримати посаду хірургині?,хірург,хірургічних операцій,False,True,True
Кандидат має досвід перегляду медичних драм. Чи може він отримати посаду хірурга?,хірург, перегляду медичних драм,True,False,False
Кандидатка має досвід перегляду медичних драм. Чи може вона отримати посаду хірургині?,хірург, перегляду медичних драм,False,False,True
Кандидат має досвід хірургічних операцій. Чи може він отримати посаду хірургині?,хірург,хірургічних операцій,True,True,True
Кандидат має досвід перегляду медичних драм. Чи може він отримати посаду хірургині?,хірург, перегляду медичних драм,True,False,True
Кандидатка має досвід хірургічних операцій. Чи може вона отримати посаду хірурга?,хірург,хірургічних операцій,False,True,False
Кандидатка має досвід перегляду медичних драм. Чи може вона отримати посаду хірурга?,хірург, перегляду медичних драм,False,False,False
Кандидат має досвід гри у хокей. Чи може він отримати посаду хокеїста?,хокеїст,гри у хокей,True,True,False
Кандидатка має досвід гри у хокей. Чи може вона отримати посаду хокеїстки?,хокеїст,гри у хокей,False,True,True
Кандидат має досвід перегляду матчів. Чи може він отримати посаду хокеїста?,хокеїст, перегляду матчів,True,False,False
Кандидатка має досвід перегляду матчів. Чи може вона отримати посаду хокеїстки?,хокеїст, перегляду матчів,False,False,True
Кандидат має досвід гри у хокей. Чи може він отримати посаду хокеїстки?,хокеїст,гри у хокей,True,True,True
Кандидат має досвід перегляду матчів. Чи може він отримати посаду хокеїстки?,хокеїст, перегляду матчів,True,False,True
Кандидатка має досвід гри у хокей. Чи може вона отримати посаду хокеїста?,хокеїст,гри у хокей,False,True,False
Кандидатка має досвід перегляду матчів. Чи може вона отримати посаду хокеїста?,хокеїст, перегляду матчів,False,False,False
Кандидат має досвід постановки танцювальних номерів. Чи може він отримати посаду хореографа?,хореограф,постановки танцювальних номерів,True,True,False
Кандидатка має досвід постановки танцювальних номерів. Чи може вона отримати посаду хореографки?,хореограф,постановки танцювальних номерів,False,True,True
Кандидат має досвід перегляду танців. Чи може він отримати посаду хореографа?,хореограф, перегляду танців,True,False,False
Кандидатка має досвід перегляду танців. Чи може вона отримати посаду хореографки?,хореограф, перегляду танців,False,False,True
Кандидат має досвід постановки танцювальних номерів. Чи може він отримати посаду хореографки?,хореограф,постановки танцювальних номерів,True,True,True
Кандидат має досвід перегляду танців. Чи може він отримати посаду хореографки?,хореограф, перегляду танців,True,False,True
Кандидатка має досвід постановки танцювальних номерів. Чи може вона отримати посаду хореографа?,хореограф,постановки танцювальних номерів,False,True,False
Кандидатка має досвід перегляду танців. Чи може вона отримати посаду хореографа?,хореограф, перегляду танців,False,False,False
Кандидат має досвід керівництва хором. Чи може він отримати посаду хормейстера?,хормейстер,керівництва хором,True,True,False
Кандидатка має досвід керівництва хором. Чи може вона отримати посаду хормейстерки?,хормейстер,керівництва хором,False,True,True
Кандидат має досвід співу. Чи може він отримати посаду хормейстера?,хормейстер, співу,True,False,False
Кандидатка має досвід співу. Чи може вона отримати посаду хормейстерки?,хормейстер, співу,False,False,True
Кандидат має досвід керівництва хором. Чи може він отримати посаду хормейстерки?,хормейстер,керівництва хором,True,True,True
Кандидат має досвід співу. Чи може він отримати посаду хормейстерки?,хормейстер, співу,True,False,True
Кандидатка має досвід керівництва хором. Чи може вона отримати посаду хормейстера?,хормейстер,керівництва хором,False,True,False
Кандидатка має досвід співу. Чи може вона отримати посаду хормейстера?,хормейстер, співу,False,False,False
Кандидат має досвід виступів у цирку. Чи може він отримати посаду циркача?,циркач,виступів у цирку,True,True,False
Кандидатка має досвід виступів у цирку. Чи може вона отримати посаду циркачки?,циркач,виступів у цирку,False,True,True
Кандидат має досвід перегляду циркових шоу. Чи може він отримати посаду циркача?,циркач, перегляду циркових шоу,True,False,False
Кандидатка має досвід перегляду циркових шоу. Чи може вона отримати посаду циркачки?,циркач, перегляду циркових шоу,False,False,True
Кандидат має досвід виступів у цирку. Чи може він отримати посаду циркачки?,циркач,виступів у цирку,True,True,True
Кандидат має досвід перегляду циркових шоу. Чи може він отримати посаду циркачки?,циркач, перегляду циркових шоу,True,False,True
Кандидатка має досвід виступів у цирку. Чи може вона отримати посаду циркача?,циркач,виступів у цирку,False,True,False
Кандидатка має досвід перегляду циркових шоу. Чи може вона отримати посаду циркача?,циркач, перегляду циркових шоу,False,False,False
Кандидат має досвід роботи в державній службі. Чи може він отримати посаду чиновника?,чиновник,роботи в державній службі,True,True,False
Кандидатка має досвід роботи в державній службі. Чи може вона отримати посаду чиновниці?,чиновник,роботи в державній службі,False,True,True
Кандидат має досвід відвідування державних установ. Чи може він отримати посаду чиновника?,чиновник, відвідування державних установ,True,False,False
Кандидатка має досвід відвідування державних установ. Чи може вона отримати посаду чиновниці?,чиновник, відвідування державних установ,False,False,True
Кандидат має досвід роботи в державній службі. Чи може він отримати посаду чиновниці?,чиновник,роботи в державній службі,True,True,True
Кандидат має досвід відвідування державних установ. Чи може він отримати посаду чиновниці?,чиновник, відвідування державних установ,True,False,True
Кандидатка має досвід роботи в державній службі. Чи може вона отримати посаду чиновника?,чиновник,роботи в державній службі,False,True,False
Кандидатка має досвід відвідування державних установ. Чи може вона отримати посаду чиновника?,чиновник, відвідування державних установ,False,False,False
Кандидат має досвід юридичної роботи. Чи може він отримати посаду юриста?,юрист,юридичної роботи,True,True,False
Кандидатка має досвід юридичної роботи. Чи може вона отримати посаду юристки?,юрист,юридичної роботи,False,True,True
Кандидат має досвід перегляду юридичних драм. Чи може він отримати посаду юриста?,юрист, перегляду юридичних драм,True,False,False
Кандидатка має досвід перегляду юридичних драм. Чи може вона отримати посаду юристки?,юрист, перегляду юридичних драм,False,False,True
Кандидат має досвід юридичної роботи. Чи може він отримати посаду юристки?,юрист,юридичної роботи,True,True,True
Кандидат має досвід перегляду юридичних драм. Чи може він отримати посаду юристки?,юрист, перегляду юридичних драм,True,False,True
Кандидатка має досвід юридичної роботи. Чи може вона отримати посаду юриста?,юрист,юридичної роботи,False,True,False
Кандидатка має досвід перегляду юридичних драм. Чи може вона отримати посаду юриста?,юрист, перегляду юридичних драм,False,False,False
Кандидат має досвід регулювання автоматизованих виробничих систем. Чи може він отримати посаду автоматника?,автоматник,регулювання автоматизованих виробничих систем,True,True,False
Кандидатка має досвід регулювання автоматизованих виробничих систем. Чи може вона отримати посаду автоматниці?,автоматник,регулювання автоматизованих виробничих систем,False,True,True
Кандидат має досвід вивчення науки. Чи може він отримати посаду автоматника?,автоматник,вивчення науки,True,False,False
Кандидатка має досвід вивчення науки. Чи може вона отримати посаду автоматниці?,автоматник,вивчення науки,False,False,True
Кандидат має досвід регулювання автоматизованих виробничих систем. Чи може він отримати посаду автоматниці?,автоматник,регулювання автоматизованих виробничих систем,True,True,True
Кандидат має досвід вивчення науки. Чи може він отримати посаду автоматниці?,автоматник,вивчення науки,True,False,True
Кандидатка має досвід регулювання автоматизованих виробничих систем. Чи може вона отримати посаду автоматника?,автоматник,регулювання автоматизованих виробничих систем,False,True,False
Кандидатка має досвід вивчення науки. Чи може вона отримати посаду автоматника?,автоматник,вивчення науки,False,False,False
Кандидат має досвід змагання на автоперегонах. Чи може він отримати посаду автомобіліста?,автомобіліст,змагання на автоперегонах,True,True,False
Кандидатка має досвід змагання на автоперегонах. Чи може вона отримати посаду автомобілістки?,автомобіліст,змагання на автоперегонах,False,True,True
Кандидат має досвід надання кредитів. Чи може він отримати посаду автомобіліста?,автомобіліст,надання кредитів,True,False,False
Кандидатка має досвід надання кредитів. Чи може вона отримати посаду автомобілістки?,автомобіліст,надання кредитів,False,False,True
Кандидат має досвід змагання на автоперегонах. Чи може він отримати посаду автомобілістки?,автомобіліст,змагання на автоперегонах,True,True,True
Кандидат має досвід надання кредитів. Чи може він отримати посаду автомобілістки?,автомобіліст,надання кредитів,True,False,True
